gene,group
GABARAP_LOC107509521,Resting
FTH1,Resting
H3F3A_LOC107517108_P,Resting
TMSB4X,Resting
TMSB10,Resting
NPC2,Resting
CD63,Resting
GMFG,Resting
FCER1G,Resting
PRDX1,Resting
C5AR1,Resting
HMGB1,Resting
LOC107509876,Resting
CYBA_LOC107502360,Resting
FTL,Resting
B2M,Resting
RNASEK,Resting
ARHGDIB,Resting
ARPC3,Resting
ARPC2,Resting
MYL6,Resting
SHISA5,Resting
MS4A7,Resting
JTB,Resting
HINT1,Resting
TSPO,Resting
CRIP1,Resting
LYZ,Resting
CHCHD2,Resting
PRELID1,Resting
NME2_LOC107498995,Resting
LST1,Resting
CFL1,Resting
ATP5F1E,Resting
RNASE6,Resting
COX7C_LOC107498048_P,Resting
LRRC25,Resting
REEP5,Resting
ATP6V1F,Resting
CSTB,Resting
PFN1,Resting
CDC42,Resting
SERF2,Resting
CTSS,Resting
ATP6V0E1,Resting
RPS28,Resting
LAMTOR2,Resting
GRN,Resting
FCGRT,Resting
DBI,Resting
TYROBP_LOC107497638,Resting
PSMA7,Resting
EMP3,Resting
UQCRB_LOC107500346,Resting
LAMTOR5,Resting
CAPG,Resting
COX17_LOC107508371,Resting
OAZ1,Resting
SUMO2,Resting
COX6A1_LOC107501251,Resting
NEDD8,Resting
CTSD,Resting
NDUFA4,Resting
PPIA,Resting
MYL12A_LOC107516865,Resting
RNASET2,Resting
ELOB,Resting
LBR,Resting
CORO1A,Resting
CLEC4E,Resting
LAPTM5,Resting
UQCRQ_LOC107497034,Resting
COX4I1_LOC107502351,Resting
LCP1,Resting
ATP6AP2,Resting
TXN_LOC107502633_P,Resting
PSMB3,Resting
ATP6V1G1,Resting
ARPC1B,Resting
AIF1,Resting
ATP5MD,Resting
TALDO1,Resting
PRDX5,Resting
CD53,Resting
CAP1,Resting
ATP6V0B,Resting
COX6B1_LOC107497665,Resting
LLPH,Resting
ATP6AP1,Resting
PTMA,Resting
SH3BGRL3,Resting
IFITM3_LOC107506509_P,Resting
ADI1,Resting
SPI1,Resting
S100A11,Resting
CD48,Resting
NOP10,Resting
PSMA6,Resting
SEPTIN7,Resting
CHMP4B,Resting
EIF2AK2,IFN-
CD69_LOC107502080,IFN-
TNFSF10,IFN-
DDX58,IFN-
USP18,IFN-
TOR3A,IFN-
SAMD9L,IFN-
NT5C3A,IFN-
ATXN3,IFN-
SP140L_LOC107504966,IFN-
BID,IFN-
LMO2,IFN-
CGAS,IFN-
IFI35,IFN-
PXK,IFN-
